Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Original Rating,Adjusted Rating,Popularity
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,product,KSh 489,41%,0,0,1.25,Low
RichRipple T900 Ultra 2 Smart Watch Band Bluetooth Call Smart Watches,product,"KSh 1,199",38%,0,0,1.25,Low
RichRipple P9 Bluetooth Headsets Hi-Fi Stereo Noise Reduction Headphone,product,KSh 869,37%,0,0,1.25,Low
RichRipple T500+PRO 2 Smart Watch Band Health Monitor Smart Watches,product,"KSh 1,199",38%,0,0,1.25,Low
Qwen Bluetooth Earbuds Wireless Earphones Bluetooth Headsets HD Sound  With LED Digital,product,KSh 550,45%,0,0,1.25,Low
Portable Phone Holder Adjustable Phone Stand & Ipad Stand Holder(Black),product,KSh 100,50%,0,0,1.25,Low
RichRipple 6A 120w Super Fast Charge 3in1 USB Charging Cable,product,KSh 279,33%,0,0,1.25,Low
RichRipple P9 Bluetooth Headsets Hi-Fi Stereo Noise Reduction Headphone,product,KSh 855,38%,0,0,1.25,Low
RichRipple Phone Tripod 3in1 Wireless Remote Control Selfie Stick With LED Light,product,KSh 479,31%,0,0,1.25,Low
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)",product,"KSh 19,475",32%,0,0,1.25,Low
"Skyworth 50G3A, 50&Prime; 4K UHD Frameless Smart Android TV &ndash; Black (1YR WRTY)",product,"KSh 41,999",25%,0,0,1.25,Low
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W",product,"KSh 4,950",35%,0,0,1.25,Low
Hisense HS2100 - 2.1CH soundbar with wireless subwoofer 240W (2YRs WRTY),product,"KSh 15,999",30%,0,0,1.25,Low
"Hisense 43"" A4K Series Smart",product,"KSh 31,599",30%,0,0,1.25,Low
"Vitron HTC3218F - 32"" HD Frameless LED Digital TV (1YR WRTY)",product,"KSh 10,421",33%,0,0,1.25,Low
Vitron HTC5068US 50&rdquo; Smart Android 4K UHD LED TV - Black (1YR WRTY),product,"KSh 34,220",14%,0,0,1.25,Low
AILYONS ECS2401 2.1CH SubWoofer Home Theatrer Multi Media Speaker System (1YR WRTY),product,"KSh 2,299",34%,0,0,1.25,Low
"Vitron V643 3.1Ch Bluetooth Speaker System, 12V",product,"KSh 4,425",8%,0,0,1.25,Low
Vision Plus VP2110SB - 2.1CH Soundbar With Bluetooth - Black (2YRs WRTY),product,"KSh 7,399",26%,0,0,1.25,Low
Phelistar Outdoor Digital TV Aerial Antenna + 3 FREE GIFTS,product,KSh 750,12%,0,0,1.25,Low
MK Electric Fridge Guard Plus Free 4-Way Extension Cable,product,KSh 870,3%,0,0,1.25,Low
Power King 2Pcs 6 Way Power Extension Socket 3M Cable,product,KSh 850,2%,0,0,1.25,Low
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)",product,"KSh 11,790",35%,0,0,1.25,Low
Hikers 32'' Digital Frameless HD LED TV-Black,product,"KSh 10,599",34%,0,0,1.25,Low
Hisense WSQB753W - 7.5Kg Twin Tub Top Load Washing Machine - White (2YRs WRTY),product,"KSh 22,699",16%,0,0,1.25,Low
"Roch RMW-20PX7H-B(B) Microwave Oven, 700W, 20L – Black (1YR WRTY)",product,"KSh 8,999",31%,0,0,1.25,Low
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),product,"KSh 45,316",7%,0,0,1.25,Low
Lyons FY-1731 Blender 2 In 1 With Grinder Machines  1.5L,product,"KSh 1,499",42%,0,0,1.25,Low
VON Von 5534 4 Gas Cooker + Gas Oven 55x55 - Brown (1YR WRTY),product,"KSh 21,340",31%,0,0,1.25,Low
AILYONS FK-0306 Stainless Steel 1.8L Electric Kettle-White (1YR WRTY),product,KSh 749,46%,0,0,1.25,Low
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),product,"KSh 19,999",13%,0,0,1.25,Low
Hisense Washing Machine Top Loading 8kg (2YRs WRTY),product,"KSh 38,799",26%,0,0,1.25,Low
Hisense Air Conditioner 18000 Btu (2YRs WRTY),product,"KSh 69,499",7%,0,0,1.25,Low
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),product,"KSh 12,100",15%,0,0,1.25,Low
"AILYONS GS014-5, 2 Burner Glass Top Gas Cooker & Infrared Double Burner (1YR WRTY)",product,"KSh 2,399",27%,0,0,1.25,Low
Hisense Fridge 205 Liters Double Door REF205DR (2YRs WRTY),product,"KSh 45,599",14%,0,0,1.25,Low
Havells Stealth Wood 1200mm Designer Ceiling Fan,product,"KSh 25,000",22%,0,0,1.25,Low
Ramtons EB/303 4 Gas 55x55 Dark Red Cooker,product,"KSh 27,172",7%,0,0,1.25,Low
VON VART-25DMS Double Door Fridge 168L - Dark Silver,product,"KSh 49,995",product,0,0,1.25,Low
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,product,KSh 910,30%,0,0,1.25,Low
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",product,KSh 624,40%,0,0,1.25,Low
Vaseline Cocoa Glow Void 200ml,product,KSh 252,17%,0,0,1.25,Low
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,product,"KSh 1,080",40%,0,0,1.25,Low
NIVEA 5 In 1 Complete Care Nourishing Cocoa Body Lotion With Cocoa Butter & Vitamin E - 400ML,product,KSh 512,20%,0,0,1.25,Low
L'Oréal professionnel Steampod 3.0 Steam Powered Flat Iron & Hair Straightener,product,"KSh 28,815",15%,0,0,1.25,Low
Deliya Hair Blow dry hair dryer 2200W Hair Dryer+6 Gifts,product,"KSh 1,460",48%,0,0,1.25,Low
